No,Kecamatan,Desa,Latitude,Longitude,jarak_ke_pusat_kab_km,jarak_ke_centroid_kec_km,jarak_tetangga_terdekat_km,kepadatan_desa_10km,cluster_kmeans,cluster_dbscan,label_prioritas_geografis
113,Muara Kaman,Menamang Kiri,0.297175,116.920147,79.44273503653642,42.44573948523934,13.539758577151042,0,2,-1,Terpencil (Prioritas Sedang)
114,Muara Kaman,Muara Kaman Ilir,-0.194687,116.754013,35.1261939307822,15.556874771812923,4.121006298187293,2,0,0,Cukup Terjangkau
115,Muara Kaman,Muara Kaman Ulu,-0.108537,116.714852,45.0866702382862,12.356235423127291,7.912103914874425,2,0,0,Cukup Terjangkau
116,Muara Kaman,Muara Siran,-0.080042,116.600966,56.28163806738631,24.315249774855722,11.398451882972278,0,0,0,Cukup Terjangkau
117,Muara Kaman,Panca Jaya,-0.1668906,116.8945268,29.17359823978725,13.539175552262424,2.300917087443788,5,1,0,Dekat Pusat Kota/Infrastruktur
118,Muara Kaman,Puan Cepak,0.010601,116.972793,47.299485661982594,19.316132772506194,14.819505924578596,0,0,0,Cukup Terjangkau
119,Muara Kaman,Rantau Hempang,-0.222588,116.778407,31.020828613421788,17.45974920711879,4.121006298187293,2,0,0,Cukup Terjangkau
120,Muara Kaman,Sabintulung,-0.105364,116.78924,40.45185977602876,5.085558028137386,8.279075138056932,1,0,0,Cukup Terjangkau
121,Muara Kaman,Sedulang,0.143862,116.974726,62.11281280279835,29.479795116253644,14.819505924578596,0,2,0,Terpencil (Prioritas Sedang)
122,Muara Kaman,Sidomukti,-0.1287265,116.920666,32.4919177545644,12.95465743572415,3.6130782478773398,5,1,0,Dekat Pusat Kota/Infrastruktur
123,Muara Kaman,Teratak,-0.251971,116.871521,21.789771562118947,20.936363989750607,7.580926305086229,5,0,0,Cukup Terjangkau
124,Muara Kaman,Tunjungan,0.009781,116.770379,52.676158396574856,10.51269769414226,8.47237373931866,1,0,0,Cukup Terjangkau
125,Muara Muntai,Batuq,-0.3516182,116.3438189,71.16289993453837,7.545379207938897,1.1120666202689249,7,1,0,Dekat Pusat Kota/Infrastruktur
126,Muara Muntai,Jantur,-0.405512,116.313875,74.15269590500472,5.6292354789893615,3.011002867800659,7,1,0,Dekat Pusat Kota/Infrastruktur
127,Muara Muntai,Jantur Baru,-0.4117453,116.2674712,79.30604206278893,10.665388415882255,4.610243522441315,3,0,0,Cukup Terjangkau
128,Muara Muntai,Jantur Selatan,-0.430833,116.304278,75.23403722112653,6.746396758954189,3.011002867800659,5,1,0,Dekat Pusat Kota/Infrastruktur
129,Muara Muntai,Kayu Batu,-0.417173,116.414365,62.97251982118787,5.682185685951158,6.366378514353418,6,1,0,Dekat Pusat Kota/Infrastruktur
130,Muara Muntai,Muara Aloh,-0.469937,116.336781,71.86135587002751,6.618746568582083,5.65402148267967,3,0,0,Cukup Terjangkau
131,Muara Muntai,Muara Leka,-0.4936049,116.4126809,63.76535666139248,10.171125111435389,8.500902212880636,2,0,0,Cukup Terjangkau
132,Muara Muntai,Muara Muntai Ilir,-0.3712,116.380239,66.94162570005939,5.392572460997226,3.495678543055378,8,1,0,Dekat Pusat Kota/Infrastruktur
133,Muara Muntai,Muara Muntai Ulu,-0.33773,116.39759,65.3999124015366,9.567441490598076,1.091141915577693,8,1,0,Dekat Pusat Kota/Infrastruktur
134,Muara Muntai,Perian,-0.670048,116.471066,63.381665303877114,30.6222229017268,20.665699990564693,0,2,-1,Terpencil (Prioritas Sedang)
135,Muara Muntai,Pulau Harapan,-0.380851,116.350319,70.19446017178832,4.2308081319795585,3.329923574827687,9,1,0,Dekat Pusat Kota/Infrastruktur
136,Muara Muntai,Rebaq Rinding,-0.3340316,116.3885006,66.45629608432414,9.603521483154973,1.091141915577693,8,1,0,Dekat Pusat Kota/Infrastruktur
137,Muara Muntai,Tanjung Batuq Harapan,-0.3418979,116.3414658,71.5375513903398,8.65607759443819,1.1120666202689249,6,1,0,Dekat Pusat Kota/Infrastruktur
